2025-07-20 13:50:59,842 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:50:59,842 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:50:59,845 - INFO - ✅ Server started successfully:
2025-07-20 13:50:59,845 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:50:59,845 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:50:59,845 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:50:59,845 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 13:53:01,152 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:53:01,152 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:53:01,156 - INFO - ✅ Server started successfully:
2025-07-20 13:53:01,156 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:53:01,156 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:53:01,156 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:53:01,156 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 14:13:05,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:06,478 - WARNING - No stats available, using fallback
2025-07-20 14:13:08,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:09,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:10,474 - WARNING - No stats available, using fallback
2025-07-20 14:13:12,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:13,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:14,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:16,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:17,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:18,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:20,477 - WARNING - No stats available, using fallback
2025-07-20 14:13:21,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:22,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:24,474 - WARNING - No stats available, using fallback
2025-07-20 14:13:25,482 - WARNING - No stats available, using fallback
2025-07-20 14:13:27,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:28,477 - WARNING - No stats available, using fallback
2025-07-20 14:13:29,476 - WARNING - No stats available, using fallback
