🎮 Starting Super Metroid Tracker (Kotlin Native)
Port: 8082, Poll Interval: 1000ms
🎭 Mock UDP: Mode changed to STATIC
🎭 Mock UDP: Static state set to Norfair
Background poller started with 1000ms interval
📡 Starting background polling loop...
🚀 Background Polling Super Metroid Tracker Server
==================================================
📱 Tracker UI: http://localhost:8082/
📊 API Status: http://localhost:8082/api/status
📈 API Stats:  http://localhost:8082/api/stats
⚡ Background polling: 1000ms intervals
🎯 Architecture: Background UDP + Instant Cache Serving
⏹️  Press Ctrl+C to stop
==================================================
✅ BOOTSTRAP: Save file looks like mid-game, keeping MB cache as-is
✅ Poll #3120 completed in 3ms
✅ Poll #3140 completed in 2ms
✅ Poll #3160 completed in 3ms
✅ Poll #3180 completed in 2ms
✅ Poll #3200 completed in 2ms
✅ Poll #3220 completed in 2ms
✅ Poll #3240 completed in 1ms
✅ Poll #3260 completed in 2ms
✅ Poll #3280 completed in 2ms
✅ Poll #3300 completed in 1ms
✅ Poll #3320 completed in 3ms
✅ Poll #3340 completed in 2ms
✅ Poll #3360 completed in 1ms
✅ Poll #3380 completed in 1ms
✅ Poll #3400 completed in 2ms
✅ Poll #3420 completed in 1ms
✅ Poll #3440 completed in 1ms
✅ Poll #3460 completed in 2ms
✅ Poll #3480 completed in 1ms
✅ Poll #3500 completed in 1ms
✅ Poll #3520 completed in 1ms
✅ Poll #3540 completed in 2ms
✅ Poll #3560 completed in 1ms
✅ Poll #3580 completed in 1ms
✅ Poll #3600 completed in 1ms
✅ Poll #3620 completed in 2ms
✅ Poll #3640 completed in 1ms
✅ Poll #3660 completed in 2ms
✅ Poll #3680 completed in 2ms
✅ Poll #3700 completed in 1ms
✅ Poll #3720 completed in 2ms
✅ Poll #3740 completed in 1ms
✅ Poll #3760 completed in 2ms
✅ Poll #3780 completed in 0ms
✅ Poll #3800 completed in 1ms
✅ Poll #3820 completed in 2ms
✅ Poll #3840 completed in 3ms
✅ Poll #3860 completed in 3ms
✅ Poll #3880 completed in 3ms
✅ Poll #3900 completed in 2ms
✅ Poll #3920 completed in 1ms
✅ Poll #3940 completed in 1ms
✅ Poll #3960 completed in 2ms
✅ Poll #3980 completed in 2ms
✅ Poll #4000 completed in 1ms
✅ Poll #4020 completed in 1ms
✅ Poll #4040 completed in 1ms
✅ Poll #4060 completed in 1ms
✅ Poll #4080 completed in 1ms
✅ Poll #4100 completed in 1ms
✅ Poll #4120 completed in 1ms
✅ Poll #4140 completed in 1ms
✅ Poll #4160 completed in 1ms
✅ Poll #4180 completed in 2ms
✅ Poll #4200 completed in 2ms
✅ Poll #4220 completed in 3ms
✅ Poll #4240 completed in 1ms
✅ Poll #4260 completed in 1ms
✅ Poll #4280 completed in 1ms
✅ Poll #4300 completed in 3ms
✅ Poll #4320 completed in 3ms
✅ Poll #4340 completed in 1ms
✅ Poll #4360 completed in 2ms
✅ Poll #4380 completed in 1ms
✅ Poll #4400 completed in 1ms
✅ Poll #4420 completed in 1ms
✅ Poll #4440 completed in 2ms
✅ Poll #4460 completed in 2ms
✅ Poll #4480 completed in 2ms
✅ Poll #4500 completed in 1ms
✅ Poll #4520 completed in 2ms
✅ Poll #4540 completed in 1ms
✅ Poll #4560 completed in 1ms
✅ Poll #4580 completed in 6ms
✅ Poll #4600 completed in 1ms
✅ Poll #4620 completed in 1ms
✅ Poll #4640 completed in 1ms
✅ Poll #4660 completed in 2ms
✅ Poll #4680 completed in 2ms
✅ Poll #4700 completed in 1ms
✅ Poll #4720 completed in 1ms
✅ Poll #4740 completed in 1ms
✅ Poll #4760 completed in 2ms
✅ Poll #4780 completed in 2ms
✅ Poll #4800 completed in 1ms
✅ Poll #4820 completed in 2ms
✅ Poll #4840 completed in 1ms
✅ Poll #4860 completed in 2ms
✅ Poll #4880 completed in 1ms
✅ Poll #4900 completed in 2ms
✅ Poll #4920 completed in 2ms
✅ Poll #4940 completed in 2ms
✅ Poll #4960 completed in 2ms
✅ Poll #4980 completed in 2ms
✅ Poll #5000 completed in 1ms
✅ Poll #5020 completed in 2ms
✅ Poll #5040 completed in 2ms
✅ Poll #5060 completed in 1ms
✅ Poll #5080 completed in 2ms
✅ Poll #5100 completed in 1ms
✅ Poll #5120 completed in 2ms
✅ Poll #5140 completed in 2ms
✅ Poll #5160 completed in 2ms
✅ Poll #5180 completed in 2ms
✅ Poll #5200 completed in 1ms
✅ Poll #5220 completed in 2ms
✅ Poll #5240 completed in 2ms
✅ Poll #5260 completed in 2ms
✅ Poll #5280 completed in 3ms
✅ Poll #5300 completed in 3ms
✅ Poll #5320 completed in 2ms
✅ Poll #5340 completed in 2ms
✅ Poll #5360 completed in 1ms
✅ Poll #5380 completed in 1ms
✅ Poll #5400 completed in 3ms
✅ Poll #5420 completed in 1ms
✅ Poll #5440 completed in 1ms
✅ Poll #5460 completed in 2ms
✅ Poll #5480 completed in 2ms
✅ Poll #5500 completed in 1ms
✅ Poll #5520 completed in 1ms
✅ Poll #5540 completed in 3ms
✅ Poll #5560 completed in 2ms
✅ Poll #5580 completed in 1ms
✅ Poll #5600 completed in 1ms
✅ Poll #5620 completed in 1ms
✅ Poll #5640 completed in 1ms
✅ Poll #5660 completed in 3ms
✅ Poll #5680 completed in 1ms
✅ Poll #5700 completed in 1ms
✅ Poll #5720 completed in 2ms
✅ Poll #5740 completed in 2ms
✅ Poll #5760 completed in 2ms
✅ Poll #5780 completed in 3ms
✅ Poll #5800 completed in 2ms
✅ Poll #5820 completed in 1ms
✅ Poll #5840 completed in 1ms
✅ Poll #5860 completed in 3ms
✅ Poll #5880 completed in 0ms
✅ Poll #5900 completed in 3ms
✅ Poll #5920 completed in 1ms
✅ Poll #5940 completed in 2ms
✅ Poll #5960 completed in 4ms
✅ Poll #5980 completed in 2ms
✅ Poll #6000 completed in 1ms
✅ Poll #6020 completed in 1ms
✅ Poll #6040 completed in 2ms
✅ Poll #6060 completed in 1ms
✅ Poll #6080 completed in 1ms
✅ Poll #6100 completed in 1ms
✅ Poll #6120 completed in 1ms
✅ Poll #6140 completed in 1ms
✅ Poll #6160 completed in 1ms
✅ Poll #6180 completed in 2ms
✅ Poll #6200 completed in 2ms
✅ Poll #6220 completed in 3ms
✅ Poll #6240 completed in 1ms
✅ Poll #6260 completed in 2ms
✅ Poll #6280 completed in 2ms
✅ Poll #6300 completed in 1ms
✅ Poll #6320 completed in 2ms
✅ Poll #6340 completed in 1ms
✅ Poll #6360 completed in 2ms
✅ Poll #6380 completed in 2ms
✅ Poll #6400 completed in 3ms
✅ Poll #6420 completed in 1ms
✅ Poll #6440 completed in 1ms
✅ Poll #6460 completed in 1ms
✅ Poll #6480 completed in 1ms
✅ Poll #6500 completed in 1ms
✅ Poll #6520 completed in 1ms
✅ Poll #6540 completed in 1ms
✅ Poll #6560 completed in 2ms
✅ Poll #6580 completed in 1ms
✅ Poll #6600 completed in 2ms
✅ Poll #6620 completed in 1ms
✅ Poll #6640 completed in 1ms
✅ Poll #6660 completed in 1ms
✅ Poll #6680 completed in 2ms
✅ Poll #6700 completed in 1ms
✅ Poll #6720 completed in 1ms
✅ Poll #6740 completed in 1ms
✅ Poll #6760 completed in 2ms
✅ Poll #6780 completed in 3ms
✅ Poll #6800 completed in 1ms
✅ Poll #6820 completed in 1ms
✅ Poll #6840 completed in 1ms
✅ Poll #6860 completed in 1ms
✅ Poll #6880 completed in 1ms
✅ Poll #6900 completed in 1ms
✅ Poll #6920 completed in 4ms
✅ Poll #6940 completed in 2ms
✅ Poll #6960 completed in 1ms
✅ Poll #6980 completed in 1ms
✅ Poll #7000 completed in 1ms
✅ Poll #7020 completed in 2ms
✅ Poll #7040 completed in 2ms
✅ Poll #7060 completed in 2ms
✅ Poll #7080 completed in 2ms
✅ Poll #7100 completed in 1ms
✅ Poll #7120 completed in 1ms
✅ Poll #7140 completed in 1ms
✅ Poll #7160 completed in 2ms
✅ Poll #7180 completed in 2ms
✅ Poll #7200 completed in 3ms
✅ Poll #7220 completed in 1ms
✅ Poll #7240 completed in 2ms
✅ Poll #7260 completed in 2ms
✅ Poll #7280 completed in 1ms
✅ Poll #7300 completed in 1ms
✅ Poll #7320 completed in 3ms
✅ Poll #7340 completed in 0ms
✅ Poll #7360 completed in 1ms
✅ Poll #7380 completed in 1ms
✅ Poll #7400 completed in 2ms
✅ Poll #7420 completed in 2ms
✅ Poll #7440 completed in 2ms
✅ Poll #7460 completed in 3ms
✅ Poll #7480 completed in 1ms
✅ Poll #7500 completed in 1ms
✅ Poll #7520 completed in 1ms
✅ Poll #7540 completed in 1ms
✅ Poll #7560 completed in 1ms
✅ Poll #7580 completed in 1ms
✅ Poll #7600 completed in 2ms
✅ Poll #7620 completed in 1ms
✅ Poll #7640 completed in 1ms
✅ Poll #7660 completed in 1ms
✅ Poll #7680 completed in 1ms
✅ Poll #7700 completed in 1ms
✅ Poll #7720 completed in 1ms
✅ Poll #7740 completed in 2ms
✅ Poll #7760 completed in 1ms
✅ Poll #7780 completed in 1ms
✅ Poll #7800 completed in 2ms
✅ Poll #7820 completed in 2ms
✅ Poll #7840 completed in 1ms
✅ Poll #7860 completed in 1ms
✅ Poll #7880 completed in 3ms
✅ Poll #7900 completed in 2ms
✅ Poll #7920 completed in 3ms
✅ Poll #7940 completed in 1ms
✅ Poll #7960 completed in 1ms
✅ Poll #7980 completed in 3ms
✅ Poll #8000 completed in 1ms
✅ Poll #8020 completed in 1ms
✅ Poll #8040 completed in 2ms
✅ Poll #8060 completed in 1ms
✅ Poll #8080 completed in 2ms
✅ Poll #8100 completed in 2ms
✅ Poll #8120 completed in 2ms
✅ Poll #8140 completed in 1ms
✅ Poll #8160 completed in 1ms
✅ Poll #8180 completed in 2ms
✅ Poll #8200 completed in 2ms
✅ Poll #8220 completed in 1ms
✅ Poll #8240 completed in 3ms
✅ Poll #8260 completed in 1ms
✅ Poll #8280 completed in 1ms
✅ Poll #8300 completed in 1ms
✅ Poll #8320 completed in 2ms
✅ Poll #8340 completed in 2ms
✅ Poll #8360 completed in 2ms
✅ Poll #8380 completed in 2ms
✅ Poll #8400 completed in 2ms
✅ Poll #8420 completed in 1ms
✅ Poll #8440 completed in 2ms
✅ Poll #8460 completed in 4ms
✅ Poll #8480 completed in 1ms
✅ Poll #8500 completed in 2ms
✅ Poll #8520 completed in 1ms
✅ Poll #8540 completed in 2ms
✅ Poll #8560 completed in 2ms
✅ Poll #8580 completed in 1ms
✅ Poll #8600 completed in 1ms
✅ Poll #8620 completed in 1ms
✅ Poll #8640 completed in 2ms
✅ Poll #8660 completed in 3ms
✅ Poll #8680 completed in 3ms
✅ Poll #8700 completed in 3ms
✅ Poll #8720 completed in 2ms
✅ Poll #8740 completed in 2ms
✅ Poll #8760 completed in 2ms
✅ Poll #8780 completed in 1ms
✅ Poll #8800 completed in 2ms
✅ Poll #8820 completed in 2ms
✅ Poll #8840 completed in 2ms
✅ Poll #8860 completed in 1ms
✅ Poll #8880 completed in 2ms
✅ Poll #8900 completed in 2ms
✅ Poll #8920 completed in 1ms
✅ Poll #8940 completed in 1ms
✅ Poll #8960 completed in 1ms
✅ Poll #8980 completed in 2ms
✅ Poll #9000 completed in 1ms
✅ Poll #9020 completed in 3ms
✅ Poll #9040 completed in 1ms
✅ Poll #9060 completed in 1ms
✅ Poll #9080 completed in 1ms
✅ Poll #9100 completed in 2ms
✅ Poll #9120 completed in 3ms
✅ Poll #9140 completed in 2ms
✅ Poll #9160 completed in 1ms
✅ Poll #9180 completed in 2ms
✅ Poll #9200 completed in 1ms
✅ Poll #9220 completed in 1ms
✅ Poll #9240 completed in 2ms
✅ Poll #9260 completed in 1ms
✅ Poll #9280 completed in 1ms
✅ Poll #9300 completed in 2ms
✅ Poll #9320 completed in 1ms
✅ Poll #9340 completed in 1ms
✅ Poll #9360 completed in 1ms
✅ Poll #9380 completed in 1ms
✅ Poll #9400 completed in 3ms
✅ Poll #9420 completed in 2ms
✅ Poll #9440 completed in 2ms
✅ Poll #9460 completed in 2ms
✅ Poll #9480 completed in 2ms
✅ Poll #9500 completed in 1ms
✅ Poll #9520 completed in 2ms
✅ Poll #9540 completed in 1ms
✅ Poll #9560 completed in 2ms
✅ Poll #9580 completed in 1ms
✅ Poll #9600 completed in 1ms
✅ Poll #9620 completed in 1ms
✅ Poll #9640 completed in 2ms
✅ Poll #9660 completed in 1ms
✅ Poll #9680 completed in 2ms
✅ Poll #9700 completed in 1ms
✅ Poll #9720 completed in 3ms
✅ Poll #9740 completed in 2ms
✅ Poll #9760 completed in 2ms
✅ Poll #9780 completed in 2ms
✅ Poll #9800 completed in 2ms
✅ Poll #9820 completed in 1ms
✅ Poll #9840 completed in 2ms
✅ Poll #9860 completed in 1ms
✅ Poll #9880 completed in 1ms
✅ Poll #9900 completed in 1ms
✅ Poll #9920 completed in 2ms
✅ Poll #9940 completed in 1ms
✅ Poll #9960 completed in 1ms
